,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
719,582.0,271.32,123.05,35.82,14.21,1026.3999999999999
417,542.1,58.94,22.0,5.08,1.87,629.99
680,534.0,60.62,18.95,4.74,1.48,619.7900000000001
285,397.0,296.8,183.6,59.38,26.43,963.2099999999999
687,128.0,63.0,35.3,13.18,6.37,245.85000000000002
225,125.3,84.84,46.95,14.9,7.17,279.15999999999997
97,122.6,92.47,66.45,24.9,11.47,317.89
151,117.8,37.52,21.8,6.88,2.95,186.95
693,112.9,58.17,37.8,13.0,5.61,227.48000000000002
628,106.1,68.32,44.65,15.52,7.53,242.12
307,104.2,47.04,29.8,9.86,4.53,195.43000000000004
163,103.7,43.47,22.5,8.06,3.16,180.89000000000001
547,98.6,55.02,31.5,11.04,4.9,201.06
166,97.3,76.02,49.1,16.06,7.01,245.48999999999998
299,97.1,57.26,34.55,11.08,5.27,205.26
84,96.9,82.53,57.5,21.54,10.35,268.82000000000005
356,95.2,89.46,71.25,28.82,13.83,298.56
460,94.0,67.2,50.2,19.68,9.11,240.19
35,93.4,60.69,30.0,10.02,4.54,198.65
34,87.7,39.27,20.05,7.46,3.2,157.68
238,85.5,77.98,54.45,19.9,9.09,246.92000000000002
623,83.9,40.11,45.05,12.96,5.12,187.14000000000001
23,83.3,60.69,27.15,6.84,3.21,181.19000000000003
230,83.1,81.27,60.25,23.7,10.89,259.21
682,82.0,63.42,45.3,19.26,8.83,218.81000000000003
121,79.9,73.22,40.7,14.7,6.24,214.76
585,78.1,49.7,34.3,13.26,5.52,180.88
511,76.1,47.95,30.5,11.08,5.02,170.65000000000003
20,75.8,43.89,20.6,6.38,2.49,149.16
552,74.5,31.29,20.85,6.26,3.08,135.98
41,72.6,46.55,27.75,10.3,4.73,161.92999999999998
759,72.4,33.39,24.05,7.96,4.01,141.81
73,72.1,31.64,17.15,6.26,2.66,129.81
655,68.6,52.99,35.1,14.04,6.19,176.92
271,68.2,19.04,9.05,2.86,1.07,100.22
89,67.8,59.5,41.5,16.32,7.95,193.07
335,67.5,56.84,42.9,17.52,8.57,193.33
