,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
618,174.0,48.93,25.0,6.06,2.81,256.8
761,133.6,50.05,21.45,6.16,2.09,213.34999999999997
544,123.7,42.7,19.6,5.66,2.07,193.73
457,99.1,34.44,19.15,5.34,1.66,159.69
948,98.5,57.19,27.9,7.94,2.86,194.39000000000001
866,97.2,51.52,27.4,8.1,3.49,187.71
68,92.9,31.15,13.4,4.24,1.33,143.02000000000004
652,77.8,47.11,23.35,7.48,2.84,158.57999999999998
351,73.1,28.84,16.35,5.62,2.16,126.07
556,71.6,19.25,9.6,2.44,0.84,103.72999999999999
975,71.1,37.1,18.2,5.92,2.21,134.53
234,67.2,33.88,17.35,5.82,2.39,126.64
366,66.6,19.88,9.0,2.54,1.09,99.11
50,66.5,33.11,19.2,6.82,3.1,128.73
711,66.0,28.21,16.05,4.92,2.09,117.27000000000001
1046,65.4,38.01,24.75,8.2,3.42,139.77999999999997
541,59.4,22.19,11.7,2.98,1.08,97.35000000000001
838,57.4,31.99,18.6,6.56,2.67,117.22000000000001
935,56.1,8.68,2.95,1.16,0.39,69.28
48,54.0,36.96,23.45,8.82,3.95,127.18000000000002
1057,53.3,49.7,31.6,9.8,4.25,148.65
55,52.9,34.65,19.3,6.72,2.8,116.36999999999999
344,52.9,22.61,13.1,4.72,2.12,95.44999999999999
69,52.7,58.31,33.2,10.02,3.97,158.20000000000002
667,51.3,19.04,12.85,4.46,1.74,89.38999999999999
986,50.3,14.63,6.1,1.46,0.67,73.15999999999998
871,50.2,17.29,7.9,2.34,1.01,78.74000000000002
29,49.5,21.84,14.15,4.54,2.01,92.04000000000002
343,48.7,32.76,23.4,9.78,4.06,118.70000000000002
130,48.6,16.59,10.0,3.38,1.57,80.13999999999999
795,48.0,53.69,36.45,10.12,4.01,152.26999999999998
956,47.2,36.4,23.3,7.66,3.74,118.29999999999998
632,47.1,21.91,11.15,4.64,2.25,87.05000000000001
906,46.3,34.3,24.65,9.36,4.27,118.88
251,45.6,23.66,16.05,5.62,2.73,93.66000000000001
794,45.5,16.59,6.75,2.94,1.35,73.13
1074,45.4,14.28,8.25,2.68,1.6,72.21000000000001
415,45.3,25.97,15.5,5.54,2.8,95.11
100,43.2,24.99,15.5,5.6,2.6,91.88999999999999
1014,43.2,24.15,11.15,3.34,1.22,83.06
528,42.5,20.3,11.8,4.2,2.17,80.97
833,42.0,13.37,7.25,2.12,0.9,65.64
199,41.5,25.41,14.1,4.18,1.29,86.48
80,41.4,18.34,12.4,4.4,1.8,78.34
32,41.4,13.79,8.85,2.82,1.23,68.08999999999999
595,41.3,19.95,12.0,3.62,1.92,78.79
898,41.2,19.39,12.7,3.38,1.21,77.88
812,41.2,21.77,13.35,4.7,2.75,83.77
678,41.0,20.86,14.2,5.18,2.17,83.41000000000001
1024,40.8,18.97,9.95,2.74,1.25,73.71
391,40.6,27.44,17.75,6.14,3.0,94.93
1056,40.2,27.65,16.5,6.86,2.79,94.0
60,39.7,39.97,26.4,9.94,4.45,120.46
270,39.6,18.27,11.65,3.96,1.93,75.41000000000001
620,39.2,21.21,16.6,6.4,3.31,86.72000000000001
855,39.0,17.85,7.85,2.66,0.88,68.24
807,39.0,17.92,10.0,3.24,1.12,71.28
465,38.3,3.85,1.45,0.14,0.13,43.870000000000005
420,38.1,19.88,13.05,5.16,2.41,78.6
19,37.8,21.77,11.6,3.86,1.87,76.89999999999999
1061,37.8,21.42,11.65,4.84,2.1,77.81
631,37.7,26.18,19.3,7.38,3.78,94.34
289,37.5,21.14,14.8,4.84,2.7,80.98
160,37.4,17.64,11.5,3.88,1.67,72.08999999999999
444,36.9,22.82,10.15,3.72,1.57,75.16
873,36.9,25.9,19.1,6.94,3.24,92.08
480,36.8,26.25,16.4,5.5,1.94,86.88999999999999
689,36.7,14.7,7.7,2.6,1.09,62.79000000000001
827,36.3,18.83,12.65,5.0,2.11,74.89
396,36.3,15.47,10.65,4.36,1.7,68.48
605,36.2,25.69,11.9,3.38,1.05,78.22
988,36.0,14.14,8.85,2.6,1.37,62.96
922,36.0,11.48,4.95,1.82,0.57,54.82000000000001
811,35.8,17.01,10.15,3.74,1.56,68.26
150,35.6,24.36,12.4,4.5,1.89,78.75
1080,35.1,22.89,15.3,4.72,2.05,80.06
456,35.1,24.15,14.15,4.68,1.95,80.03000000000002
1022,34.6,24.01,17.2,6.68,3.35,85.84
437,34.4,4.55,1.65,0.32,0.19,41.10999999999999
340,34.3,25.34,19.15,6.76,3.16,88.71
734,34.3,22.75,12.2,5.6,2.57,77.41999999999999
96,33.8,24.85,11.3,2.42,0.8,73.17
378,33.7,19.95,11.75,4.94,2.21,72.55
291,33.6,28.7,17.55,6.86,3.23,89.94
449,33.0,19.11,13.75,5.44,2.8,74.1
484,33.0,17.15,11.85,3.94,2.11,68.05
830,32.5,15.61,8.0,2.46,1.24,59.81
1003,31.9,17.29,11.95,4.62,2.06,67.82000000000001
694,31.6,17.5,12.3,4.28,1.77,67.45
861,31.6,15.33,8.9,3.12,1.51,60.459999999999994
645,31.4,17.43,10.95,3.86,1.79,65.43
227,31.0,21.91,13.3,4.24,1.56,72.00999999999999
793,30.9,18.83,13.2,4.9,2.44,70.27
398,30.9,9.24,5.35,1.66,0.72,47.87
532,30.7,23.38,17.4,6.46,3.38,81.31999999999998
18,30.7,14.28,8.95,3.58,1.58,59.08999999999999
367,30.5,18.2,12.7,3.78,1.83,67.01
39,30.5,15.26,7.6,2.46,1.27,57.09
727,30.5,50.33,33.8,12.12,4.74,131.49
110,30.2,23.31,13.2,6.02,2.53,75.25999999999999
527,30.1,19.88,12.5,4.42,1.89,68.79
525,30.1,15.75,9.0,3.24,1.2,59.290000000000006
555,29.8,16.94,10.9,4.32,2.07,64.03
363,29.3,11.9,7.9,2.8,1.24,53.14
148,29.3,24.29,15.95,5.02,2.37,76.93
626,29.2,12.11,6.85,1.8,0.86,50.82
562,29.1,18.34,10.7,3.92,1.81,63.870000000000005
118,29.1,13.09,7.05,2.34,1.01,52.589999999999996
921,28.9,29.89,17.8,6.58,2.53,85.7
113,28.9,23.1,17.0,5.64,2.8,77.44
151,28.8,14.21,11.3,4.34,2.3,60.95
182,28.7,21.07,14.95,6.28,2.77,73.77
822,28.7,23.38,17.6,6.0,2.76,78.44000000000001
867,28.6,8.05,3.0,0.56,0.18,40.39000000000001
138,28.5,26.11,14.75,5.0,2.39,76.75
